HG_NM,HG_NM,HJ_NM,BTH_DATE,SEX_GBN_NM,elected_cnt,POLY_NM,ORIG_NM
강길부,강길부,姜吉夫,1942-06-05,남,4,무소속,울산 울주군
강병원,강병원,姜炳遠,1971-07-09,남,2,더불어민주당,서울 은평구을
강석진,강석진,姜錫振,1959-12-07,남,1,미래통합당,경남 산청군함양군거창군합천군
강석호,강석호,姜碩鎬,1955-12-03,남,3,미래통합당,경북 영양군영덕군봉화군울진군
강창일,강창일,姜昌一,1952-01-28,남,4,더불어민주당,제주 제주시갑
강효상,강효상,姜孝祥,1961-03-01,남,1,미래통합당,비례대표
강훈식,강훈식,姜勳植,1973-10-24,남,2,더불어민주당,충남 아산시을
경대수,경대수,慶大秀,1958-03-18,남,2,미래통합당,충북 증평군진천군음성군
고용진,고용진,高榕진,1964-08-06,남,2,더불어민주당,서울 노원구갑
곽대훈,곽대훈,郭大勳,1955-06-05,남,1,무소속,대구 달서구갑
곽상도,곽상도,郭尙道,1959-12-23,남,2,새누리당,대구 중구남구
권미혁,권미혁,權美赫,1959-01-10,여,1,더불어민주당,비례대표
권석창,권석창,權錫昌,1966-08-06,남,1,자유한국당,충북 제천시단양군
권성동,권성동,權性東,1960-04-29,남,4,새누리당,강원 강릉시
권은희,권은희,權垠希,1974-02-15,여,3,국민의당,광주 광산구을
권칠승,권칠승,權七勝,1965-11-18,남,2,더불어민주당,경기 화성시병
금태섭,금태섭,琴泰燮,1967-09-29,남,1,더불어민주당,서울 강서구갑
기동민,기동민,奇東旻,1966-02-23,남,2,더불어민주당,서울 성북구을
김경수,김경수,金慶洙,1967-12-01,남,1,더불어민주당,경남 김해시을
김경진,김경진,金京鎭,1966-07-14,남,1,무소속,광주 북구갑
김경협,김경협,金炅俠,1962-11-07,남,3,더불어민주당,경기 부천시원미구갑
김관영,김관영,金寬永,1969-11-15,남,2,무소속,전북 군산시
김광림,김광림,金光琳,1948-04-28,남,3,미래통합당,경북 안동시
김광수,김광수,金光守,1958-06-11,남,1,무소속,전북 전주시갑
김규환,김규환,金奎煥,1956-06-18,남,1,미래한국당,비례대표
김기선,김기선,金起善,1952-10-29,남,2,미래한국당,강원 원주시갑
김도읍,김도읍,金度邑,1964-07-06,남,3,새누리당,부산 북구강서구을
김동철,김동철,金東喆,1955-06-30,남,4,민생당,광주 광산구갑
김두관,김두관,金斗官,1959-04-10,남,2,더불어민주당,경기 김포시갑
김명연,김명연,金明淵,1964-02-28,남,2,미래통합당,경기 안산시단원구갑
김무성,김무성,金武星,1951-09-20,남,6,미래통합당,부산 중구영도구
김민기,김민기,金敏基,1966-04-28,남,3,더불어민주당,경기 용인시을
김병관,김병관,金炳官,1973-01-15,남,1,더불어민주당,경기 성남시분당구갑
김병기,김병기,金炳基,1961-07-10,남,2,더불어민주당,서울 동작구갑
김병욱,김병욱,金炳旭,1965-04-15,남,2,더불어민주당,경기 성남시분당구을
김부겸,김부겸,金富謙,1958-01-21,남,4,더불어민주당,대구 수성구갑
김삼화,김삼화,金三和,1962-08-01,여,1,민생당,비례대표
김상훈,김상훈,金相勳,1963-01-25,남,3,새누리당,대구 서구
김상희,김상희,金相姬,1954-05-18,여,4,더불어민주당,경기 부천시소사구
김석기,김석기,金碩基,1954-08-06,남,2,새누리당,경북 경주시
김선동,김선동,金善東,1963-10-09,남,2,미래통합당,서울 도봉구을
김성수,김성수,金聖洙,1956-09-09,남,1,더불어민주당,비례대표
김성식,김성식,金成植,1958-12-16,남,2,무소속,서울 관악구갑
김성원,김성원,金成願,1973-10-15,남,2,새누리당,경기 동두천시연천군
김성찬,김성찬,金盛贊,1954-05-07,남,2,미래한국당,경남 창원시진해구
김성태A,김성태A,金聖泰,1958-05-23,남,3,미래통합당,서울 강서구을
김성태B,김성태B,金成泰,1954-07-24,남,1,미래통합당,비례대표
김성환,김성환,金星煥,1965-10-15,남,2,더불어민주당,서울 노원구병
김세연,김세연,金世淵,1972-07-15,남,3,미래통합당,부산 금정구
김수민,김수민,金秀玟,1986-12-25,여,1,민생당,비례대표
김순례,김순례,金順禮,1955-06-27,여,1,미래한국당,비례대표
김승희,김승희,金承禧,1954-02-06,여,1,미래한국당,비례대표
김영우,김영우,金榮宇,1967-01-20,남,3,미래통합당,경기 포천시가평군
김영주,김영주,金榮珠,1955-07-27,여,4,더불어민주당,서울 영등포구갑
김영진,김영진,金榮鎭,1967-09-10,남,2,더불어민주당,경기 수원시병
김영춘,김영춘,金榮春,1962-02-05,남,3,더불어민주당,부산 부산진구갑
김영호,김영호,金映豪,1967-09-13,남,2,더불어민주당,서울 서대문구을
김용태,김용태,金容兌,1968-03-26,남,3,미래통합당,서울 양천구을
김재경,김재경,金在庚,1961-10-10,남,4,미래통합당,경남 진주시을
김재원,김재원,金在原,1964-12-20,남,3,미래통합당,경북 상주시군위군의성군청송군
김정우,김정우,金政祐,1968-06-18,남,1,더불어민주당,경기 군포시갑
김정재,김정재,金汀才,1966-02-15,여,2,새누리당,경북 포항시북구
김정호,김정호,金禎鎬,1960-06-18,남,2,더불어민주당,경남 김해시을
김정훈,김정훈,金正薰,1957-11-03,남,4,미래한국당,부산 남구갑
김종대,김종대,金鍾大,1966-11-13,남,1,정의당,비례대표
김종민,김종민,金鐘民,1964-05-12,남,2,더불어민주당,충남 논산시계룡시금산군
김종석,김종석,金鍾奭,1955-08-01,남,1,미래한국당,비례대표
김종인,김종인,金鍾仁,1940-07-11,남,5,더불어민주당,비례대표
김종태,김종태,金鍾泰,1949-03-16,남,2,새누리당,경북 상주시군위군의성군청송군
김종회,김종회,金鍾懷,1965-08-24,남,1,무소속,전북 김제시부안군
김종훈,김종훈,金鍾勳,1964-07-03,남,1,민중당,울산 동구
김중로,김중로,金中魯,1950-10-27,남,1,민생당,비례대표
김진태,김진태,金鎭台,1964-10-13,남,2,미래통합당,강원 춘천시
김진표,김진표,金振杓,1947-05-04,남,5,더불어민주당,경기 수원시무
김철민,김철민,金哲玟,1957-02-15,남,2,더불어민주당,경기 안산시상록구을
김태년,김태년,金太年,1965-03-20,남,4,더불어민주당,경기 성남시수정구
김태흠,김태흠,金泰欽,1963-01-11,남,3,새누리당,충남 보령시서천군
김학용,김학용,金學容,1961-12-10,남,4,새누리당,경기 안성시
김한정,김한정,金漢正,1963-09-06,남,2,더불어민주당,경기 남양주시을
김한표,김한표,金漢杓,1954-08-24,남,2,미래통합당,경남 거제시
김해영,김해영,金海永,1977-01-02,남,1,더불어민주당,부산 연제구
김현권,김현권,金玄權,1963-04-06,남,1,더불어민주당,비례대표
김현미,김현미,金賢美,1962-11-29,여,3,더불어민주당,경기 고양시정
김현아,김현아,金炫我,1969-08-19,여,1,미래통합당,비례대표
나경원,나경원,羅卿瑗,1963-12-06,여,4,미래통합당,서울 동작구을
남인순,남인순,南仁順,1958-11-05,여,3,더불어민주당,서울 송파구병
노웅래,노웅래,盧雄來,1957-08-03,남,4,더불어민주당,서울 마포구갑
노회찬,노회찬,魯會燦,1956-08-31,남,3,정의당,경남 창원시성산구
도종환,도종환,都鍾煥,1955-09-27,남,3,더불어민주당,충북 청주시흥덕구
맹성규,맹성규,孟聖奎,1962-04-05,남,2,더불어민주당,인천 남동구갑
문미옥,문미옥,文美玉,1968-12-20,여,1,더불어민주당,비례대표
문진국,문진국,文鎭國,1949-02-01,남,1,미래한국당,비례대표
문희상,문희상,文喜相,1945-03-03,남,6,무소속,경기 의정부시갑
민경욱,민경욱,閔庚旭,1963-06-17,남,1,미래통합당,인천 연수구을
민병두,민병두,閔丙두,1958-06-10,남,3,무소속,서울 동대문구을
민홍철,민홍철,閔洪喆,1961-04-18,남,3,더불어민주당,경남 김해시갑
박경미,박경미,朴炅美,1965-10-15,여,1,더불어민주당,비례대표
박광온,박광온,朴洸瑥,1957-03-26,남,3,더불어민주당,경기 수원시정
박남춘,박남춘,朴南春,1958-07-02,남,2,더불어민주당,인천 남동구갑
박대출,박대출,朴大出,1961-03-18,남,3,새누리당,경남 진주시갑
박덕흠,박덕흠,朴德欽,1953-10-18,남,3,새누리당,충북 보은군옥천군영동군괴산군
박맹우,박맹우,朴孟雨,1951-12-06,남,2,미래한국당,울산 남구을
박명재,박명재,朴明在,1947-07-05,남,2,미래통합당,경북 포항시남구울릉군
박범계,박범계,朴範界,1963-04-27,남,3,더불어민주당,대전 서구을
박병석,박병석,朴炳錫,1952-01-25,남,6,더불어민주당,대전 서구갑
박선숙,박선숙,朴仙淑,1960-12-01,여,2,민생당,비례대표
박성중,박성중,朴成重,1958-08-01,남,2,새누리당,서울 서초구을
박순자,박순자,朴順子,1958-10-12,여,3,미래통합당,경기 안산시단원구을
박영선,박영선,朴映宣,1960-01-22,여,4,더불어민주당,서울 구로구을
박완수,박완수,朴完洙,1955-08-26,남,2,새누리당,경남 창원시의창구
박완주,박완주,朴完柱,1966-11-10,남,3,더불어민주당,충남 천안시을
박용진,박용진,朴用鎭,1971-04-17,남,2,더불어민주당,서울 강북구을
박인숙,박인숙,朴仁淑,1948-11-10,여,2,미래통합당,서울 송파구갑
박재호,박재호,朴在昊,1959-02-13,남,2,더불어민주당,부산 남구을
박정,박정,朴釘,1962-11-19,남,2,더불어민주당,경기 파주시을
박주민,박주민,朴柱民,1973-11-21,남,2,더불어민주당,서울 은평구갑
박주선,박주선,朴柱宣,1949-07-23,남,4,민생당,광주 동구남구을
박주현,박주현,朴珠賢,1963-04-11,여,1,민생당,비례대표
박준영,박준영,朴晙瑩,1946-10-21,남,1,민주평화당,전남 영암군무안군신안군
박지원,박지원,朴智元,1942-06-05,남,4,민생당,전남 목포시
박찬대,박찬대,朴贊大,1967-05-10,남,2,더불어민주당,인천 연수구갑
박찬우,박찬우,朴贊佑,1959-04-15,남,1,자유한국당,충남 천안시갑
박홍근,박홍근,朴洪根,1969-10-08,남,3,더불어민주당,서울 중랑구을
배덕광,배덕광,裵德光,1948-06-22,남,2,자유한국당,부산 해운대구을
백승주,백승주,白承周,1961-03-20,남,1,미래한국당,경북 구미시갑
백재현,백재현,白在鉉,1951-07-04,남,3,더불어민주당,경기 광명시갑
백혜련,백혜련,白惠蓮,1967-02-17,여,2,더불어민주당,경기 수원시을
변재일,변재일,卞在一,1948-09-02,남,5,더불어민주당,충북 청주시청원구
서삼석,서삼석,徐參錫,1959-08-03,남,2,더불어민주당,전남 영암군무안군신안군
서영교,서영교,徐瑛敎,1964-11-11,여,3,더불어민주당,서울 중랑구갑
서청원,서청원,徐淸源,1943-04-03,남,8,우리공화당,경기 화성시갑
서형수,서형수,徐炯洙,1957-04-05,남,1,더불어민주당,경남 양산시을
설훈,설훈,薛勳,1953-04-23,남,5,더불어민주당,경기 부천시원미구을
성일종,성일종,成一鍾,1963-03-19,남,2,새누리당,충남 서산시태안군
소병훈,소병훈,蘇秉勳,1954-06-03,남,2,더불어민주당,경기 광주시갑
손금주,손금주,孫今柱,1971-07-29,남,1,더불어민주당,전남 나주시화순군
손혜원,손혜원,孫惠園,1955-01-23,여,1,열린민주당,서울 마포구을
송갑석,송갑석,宋甲錫,1966-10-10,남,2,더불어민주당,광주 서구갑
송기석,송기석,宋基錫,1963-10-28,남,1,국민의당,광주 서구갑
송기헌,송기헌,宋基憲,1963-10-02,남,2,더불어민주당,강원 원주시을
송석준,송석준,宋錫俊,1964-03-10,남,2,새누리당,경기 이천시
송언석,송언석,宋彦錫,1963-05-16,남,2,자유한국당,경북 김천시
송영길,송영길,宋永吉,1963-03-21,남,5,더불어민주당,인천 계양구을
송옥주,송옥주,宋玉珠,1965-12-20,여,2,더불어민주당,비례대표
송희경,송희경,宋喜卿,1964-07-24,여,1,미래한국당,비례대표
신경민,신경민,辛京珉,1953-08-19,남,2,더불어민주당,서울 영등포구을
신동근,신동근,申東根,1961-12-22,남,2,더불어민주당,인천 서구을
신보라,신보라,申普羅,1983-01-07,여,1,미래통합당,비례대표
신상진,신상진,申相珍,1956-06-28,남,4,미래통합당,경기 성남시중원구
신용현,신용현,申容賢,1961-03-09,여,1,민생당,비례대표
신창현,신창현,申昌賢,1953-06-27,남,1,더불어민주당,경기 의왕시과천시
심기준,심기준,沈基俊,1961-10-19,남,1,더불어민주당,비례대표
심상정,심상정,沈相정,1959-02-20,여,4,정의당,경기 고양시갑
심재권,심재권,沈載權,1946-08-15,남,3,더불어민주당,서울 강동구을
심재철,심재철,沈在哲,1958-01-18,남,5,미래통합당,경기 안양시동안구을
안규백,안규백,安圭伯,1961-04-29,남,4,더불어민주당,서울 동대문구갑
안민석,안민석,安敏錫,1966-08-13,남,5,더불어민주당,경기 오산시
안상수,안상수,安相洙,1946-05-28,남,3,미래통합당,인천 중구동구강화군옹진군
안철수,안철수,安哲秀,1962-01-22,남,3,국민의당,서울 노원구병
안호영,안호영,安浩永,1965-10-11,남,2,더불어민주당,전북 완주군진안군무주군장수군
양승조,양승조,梁承晁,1959-03-21,남,4,더불어민주당,충남 천안시병
어기구,어기구,魚基龜,1963-01-10,남,2,더불어민주당,충남 당진시
엄용수,엄용수,嚴龍洙,1965-01-20,남,1,자유한국당,경남 밀양시의령군함안군창녕군
여상규,여상규,余尙奎,1948-09-15,남,3,미래한국당,경남 사천시남해군하동군
여영국,여영국,余永國,1964-12-26,남,1,정의당,경남 창원시성산구
염동열,염동열,廉東烈,1961-02-28,남,2,미래한국당,강원 태백시횡성군영월군평창군정선군
오세정,오세정,吳世正,1953-02-17,남,1,바른미래당,비례대표
오신환,오신환,吳晨煥,1971-02-07,남,2,미래통합당,서울 관악구을
오영훈,오영훈,吳怜勳,1968-12-14,남,2,더불어민주당,제주 제주시을
오제세,오제세,吳濟世,1949-04-05,남,4,더불어민주당,충북 청주시서원구
우상호,우상호,禹相虎,1962-12-12,남,4,더불어민주당,서울 서대문구갑
우원식,우원식,禹元植,1957-09-18,남,4,더불어민주당,서울 노원구을
원유철,원유철,元裕哲,1962-09-26,남,5,미래한국당,경기 평택시갑
원혜영,원혜영,元惠榮,1951-09-27,남,5,더불어민주당,경기 부천시오정구
위성곤,위성곤,魏聖坤,1968-01-20,남,2,더불어민주당,제주 서귀포시
유기준,유기준,兪奇濬,1959-08-10,남,4,미래통합당,부산 서구동구
유동수,유동수,柳東秀,1961-09-18,남,2,더불어민주당,인천 계양구갑
유민봉,유민봉,庾敏鳳,1958-01-09,남,1,미래통합당,비례대표
유성엽,유성엽,柳成葉,1960-01-25,남,3,민생당,전북 정읍시고창군
유승민,유승민,劉承旼,1958-01-07,남,5,미래통합당,대구 동구을
유승희,유승희,兪承希,1960-04-26,여,3,더불어민주당,서울 성북구갑
